	Node	Cluster_0.1	Cluster_0.195	Cluster_0.29000000000000004	Cluster_0.385	Cluster_0.48	Cluster_0.575	Cluster_0.67	Cluster_0.765	Cluster_0.86	Cluster_0.955	Cluster_1.05	Cluster_1.145	Cluster_1.2400000000000002	Cluster_1.3350000000000002	Cluster_1.4300000000000002	Cluster_1.5250000000000001	Cluster_1.62	Cluster_1.715	Cluster_1.81	Cluster_1.905	Cluster_2.0
259	259	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
260	260	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
261	261	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
262	262	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
263	263	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
264	264	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
265	265	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
266	266	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
267	267	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
268	268	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
269	269	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
270	270	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
271	271	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
272	272	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
273	273	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
274	274	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
